#   GLON      GLAT      VLSR     MLON      MLAT
  301.1631  -78.7029    6.57  -46.8463    3.0474
  301.0992  -78.6548    6.84  -46.7971    3.0396
  301.0359  -78.6067    7.10  -46.7479    3.0318
  300.9731  -78.5586    7.36  -46.6987    3.0241
  300.9108  -78.5104    7.63  -46.6495    3.0163
  300.8491  -78.4622    7.89  -46.6004    3.0085
  300.7878  -78.4140    8.15  -46.5512    3.0007
  300.7270  -78.3658    8.41  -46.5020    2.9930
  300.6666  -78.3176    8.68  -46.4528    2.9852
  300.6068  -78.2694    8.94  -46.4036    2.9774
  300.5474  -78.2212    9.20  -46.3544    2.9696
  300.4885  -78.1729    9.46  -46.3053    2.9618
  300.4301  -78.1247    9.73  -46.2561    2.9541
  300.3596  -78.0775    9.99  -46.2069    2.9491
  300.1845  -78.0394   10.25  -46.1577    2.9677
  300.0105  -78.0013   10.52  -46.1085    2.9864
  299.8375  -77.9630   10.78  -46.0594    3.0051
  299.6657  -77.9246   11.04  -46.0102    3.0238
  299.4949  -77.8862   11.30  -45.9610    3.0424
  299.3251  -77.8476   11.53  -45.9118    3.0611
  299.1564  -77.8089   11.76  -45.8626    3.0798
  298.9888  -77.7702   11.99  -45.8134    3.0984
  298.8222  -77.7313   12.22  -45.7643    3.1171
  298.6566  -77.6923   12.45  -45.7151    3.1358
  298.5214  -77.6508   12.68  -45.6659    3.1477
  298.4390  -77.6050   12.91  -45.6167    3.1477
  298.3572  -77.5592   13.14  -45.5675    3.1477
  298.2760  -77.5133   13.37  -45.5184    3.1477
  298.1954  -77.4674   13.60  -45.4692    3.1477
  298.1153  -77.4215   13.83  -45.4200    3.1477
  298.0358  -77.3755   14.06  -45.3708    3.1477
  297.9569  -77.3296   14.29  -45.3216    3.1477
  297.8785  -77.2836   14.52  -45.2724    3.1477
  297.8006  -77.2376   14.75  -45.2233    3.1477
  297.7233  -77.1915   14.98  -45.1741    3.1477
  297.6466  -77.1455   15.21  -45.1249    3.1477
  297.5703  -77.0994   15.55  -45.0757    3.1477
  297.4946  -77.0533   15.92  -45.0265    3.1477
  297.4194  -77.0072   16.28  -44.9774    3.1477
  297.3447  -76.9611   16.65  -44.9282    3.1477
  297.2706  -76.9149   17.02  -44.8790    3.1477
  297.1969  -76.8687   17.39  -44.8298    3.1477
  297.1237  -76.8225   17.75  -44.7806    3.1477
  297.0521  -76.7762   18.12  -44.7314    3.1474
  297.0346  -76.7255   18.49  -44.6823    3.1341
  297.0172  -76.6748   18.86  -44.6331    3.1208
  296.9999  -76.6240   19.23  -44.5839    3.1074
  296.9828  -76.5733   19.74  -44.5347    3.0941
  296.9657  -76.5226   20.27  -44.4855    3.0808
  296.9488  -76.4718   20.80  -44.4364    3.0674
  296.9320  -76.4211   21.32  -44.3872    3.0541
  296.9153  -76.3704   21.85  -44.3380    3.0408
  296.8987  -76.3196   22.37  -44.2888    3.0274
  296.8822  -76.2689   22.90  -44.2396    3.0141
  296.8659  -76.2181   23.42  -44.1904    3.0008
  296.8496  -76.1674   23.95  -44.1413    2.9874
  296.8335  -76.1166   24.47  -44.0921    2.9741
  296.8174  -76.0659   25.00  -44.0429    2.9608
  296.8015  -76.0151   25.52  -43.9937    2.9474
  296.7173  -75.9703   26.05  -43.9445    2.9517
  296.6320  -75.9255   26.58  -43.8954    2.9563
  296.5472  -75.8807   27.10  -43.8462    2.9610
  296.4629  -75.8358   27.65  -43.7970    2.9657
  296.3792  -75.7910   28.20  -43.7478    2.9703
  296.2959  -75.7461   28.75  -43.6986    2.9750
  296.2132  -75.7012   29.30  -43.6494    2.9797
  296.1309  -75.6562   29.85  -43.6003    2.9843
  296.0492  -75.6112   30.40  -43.5511    2.9890
  295.9679  -75.5662   30.96  -43.5019    2.9937
  295.8871  -75.5212   31.51  -43.4527    2.9983
  295.8068  -75.4762   32.06  -43.4035    3.0030
  295.7270  -75.4311   32.61  -43.3544    3.0077
  295.6477  -75.3860   33.16  -43.3052    3.0123
  295.5688  -75.3408   33.55  -43.2560    3.0170
  295.4904  -75.2957   33.92  -43.2068    3.0217
  295.4125  -75.2505   34.28  -43.1576    3.0263
